,feature,score
379,"rEMA(data,""close"",15)",0.02680175089739316
378,"rEMA(data,""close"",14)",0.026040526440985305
377,"rEMA(data,""close"",13)",0.023647007084556977
374,"rEMA(data,""close"",10)",0.023075270100000808
380,"rEMA(data,""close"",16)",0.02288231463412507
375,"rEMA(data,""close"",11)",0.021824702916657772
376,"rEMA(data,""close"",12)",0.020475007736129387
381,"rEMA(data,""close"",17)",0.019400910697029428
382,"rEMA(data,""close"",18)",0.01925051096955803
383,"rEMA(data,""close"",19)",0.01843613681993758
384,"rEMA(data,""close"",20)",0.016333912444699842
417,"rEMA(data,""close"",53)",0.015917881526791144
415,"rEMA(data,""close"",51)",0.01553314668705259
418,"rEMA(data,""close"",54)",0.015192672752737196
416,"rEMA(data,""close"",52)",0.014925704013729653
385,"rEMA(data,""close"",21)",0.014709095793275062
387,"rEMA(data,""close"",23)",0.01435965341775717
386,"rEMA(data,""close"",22)",0.0142720679137524
414,"rEMA(data,""close"",50)",0.013741112245390283
412,"rEMA(data,""close"",48)",0.013300421921495418
390,"rEMA(data,""close"",26)",0.013233493859418143
413,"rEMA(data,""close"",49)",0.013220792201853833
389,"rEMA(data,""close"",25)",0.012488597851598976
420,"rEMA(data,""close"",56)",0.012338357772042265
400,"rEMA(data,""close"",36)",0.012259800856104276
399,"rEMA(data,""close"",35)",0.011986995727708196
398,"rEMA(data,""close"",34)",0.011753197752483855
419,"rEMA(data,""close"",55)",0.0117229756464482
388,"rEMA(data,""close"",24)",0.011700888298909093
402,"rEMA(data,""close"",38)",0.01156182955504972
391,"rEMA(data,""close"",27)",0.01143801616636306
403,"rEMA(data,""close"",39)",0.011221484880512255
411,"rEMA(data,""close"",47)",0.010915854521494397
404,"rEMA(data,""close"",40)",0.010657221239503101
407,"rEMA(data,""close"",43)",0.01052113821242803
401,"rEMA(data,""close"",37)",0.010422130505748506
421,"rEMA(data,""close"",57)",0.01014784619528116
422,"rEMA(data,""close"",58)",0.010064137614998123
410,"rEMA(data,""close"",46)",0.009980946026858388
405,"rEMA(data,""close"",41)",0.009970235597014031
409,"rEMA(data,""close"",45)",0.009906612478594869
406,"rEMA(data,""close"",42)",0.009524929107581265
408,"rEMA(data,""close"",44)",0.008983976233884373
397,"rEMA(data,""close"",33)",0.008709526763309067
395,"rEMA(data,""close"",31)",0.00803505264561214
424,"rEMA(data,""close"",60)",0.007823280390629198
423,"rEMA(data,""close"",59)",0.007707947179963023
393,"rEMA(data,""close"",29)",0.007684561725159257
392,"rEMA(data,""close"",28)",0.007578194446081681
425,"rEMA(data,""close"",61)",0.0074949388854451135
